標題,筆記,網址,標籤,留言
,,,,
MYSTAYS 札幌公園精品酒店,,https://www.google.com/maps/place/MYSTAYS+%E6%9C%AD%E5%B9%8C%E5%85%AC%E5%9C%92%E7%B2%BE%E5%93%81%E9%85%92%E5%BA%97/data=!4m2!3m1!1s0x5f0b2bad8993e9a5:0xd825edc67ae4a90e,,
新千歲機場,,https://www.google.com/maps/place/%E6%96%B0%E5%8D%83%E6%AD%B2%E6%A9%9F%E5%A0%B4/data=!4m2!3m1!1s0x5f75206a59b85665:0xbb7cafe62704ee3d,,
しゃぶしゃぶ かに＆海鮮 一,,https://www.google.com/maps/place/%E3%81%97%E3%82%83%E3%81%B6%E3%81%97%E3%82%83%E3%81%B6+%E3%81%8B%E3%81%AB%EF%BC%86%E6%B5%B7%E9%AE%AE+%E4%B8%80/data=!4m2!3m1!1s0x5f0b29d274f2fd7b:0x6f4f58480c4daed,,
札幌工廠,,https://www.google.com/maps/place/%E6%9C%AD%E5%B9%8C%E5%B7%A5%E5%BB%A0/data=!4m2!3m1!1s0x5f0b297129feb09f:0x67f8fc84fdfe335f,,
旧永山武四郎邸 / 旧三菱鉱業寮,,https://www.google.com/maps/place/%E6%97%A7%E6%B0%B8%E5%B1%B1%E6%AD%A6%E5%9B%9B%E9%83%8E%E9%82%B8+%2F+%E6%97%A7%E4%B8%89%E8%8F%B1%E9%89%B1%E6%A5%AD%E5%AF%AE/data=!4m2!3m1!1s0x5f0b29bc538a3005:0x4fb66131d2558d0e,,
札幌開拓使麦酒醸造所 見学館,,https://www.google.com/maps/place/%E6%9C%AD%E5%B9%8C%E9%96%8B%E6%8B%93%E4%BD%BF%E9%BA%A6%E9%85%92%E9%86%B8%E9%80%A0%E6%89%80+%E8%A6%8B%E5%AD%A6%E9%A4%A8/data=!4m2!3m1!1s0x5f0b29712730f83f:0xad7674f5ccea81eb,,
豐平館,,https://www.google.com/maps/place/%E8%B1%90%E5%B9%B3%E9%A4%A8/data=!4m2!3m1!1s0x5f0b2a272bfa794d:0xdb073304d301f7dc,,
北海道大學,,https://www.google.com/maps/place/%E5%8C%97%E6%B5%B7%E9%81%93%E5%A4%A7%E5%AD%B8/data=!4m2!3m1!1s0x5f0b290bc5dc9a43:0x425f98023e0b86d5,,
札幌情報未来専門学校,,https://www.google.com/maps/place/%E6%9C%AD%E5%B9%8C%E6%83%85%E5%A0%B1%E6%9C%AA%E6%9D%A5%E5%B0%82%E9%96%80%E5%AD%A6%E6%A0%A1/data=!4m2!3m1!1s0x5f0b29a306913915:0xa2d2184bb9f64098,,
Koshinshinju Sapporo Shiten,,https://www.google.com/maps/place/Koshinshinju+Sapporo+Shiten/data=!4m2!3m1!1s0x5f0b2920fbda6677:0xab3852cefabf0143,,
Historical Village of Hokkaido,,https://www.google.com/maps/place/Historical+Village+of+Hokkaido/data=!4m2!3m1!1s0x5f0b2ceb651ae381:0xaaa05e70a99cab96,,
輪厚停車區 (下行),,https://www.google.com/maps/place/%E8%BC%AA%E5%8E%9A%E5%81%9C%E8%BB%8A%E5%8D%80+(%E4%B8%8B%E8%A1%8C)/data=!4m2!3m1!1s0x5f74d5da249aea5f:0x59d222504e15617f,,
雅亭溫泉飯店,,https://www.google.com/maps/place/%E9%9B%85%E4%BA%AD%E6%BA%AB%E6%B3%89%E9%A3%AF%E5%BA%97/data=!4m2!3m1!1s0x5f7566c37c349cb3:0x3d009260b671701,,
Reclamation Monument,,https://www.google.com/maps/place/Reclamation+Monument/data=!4m2!3m1!1s0x5f0b299b84cf8415:0x6d50a8ceaf0541ea,,
