標題,筆記,網址,標籤,留言,緯度(Latitude),經度(Longitude),地點名稱(Place Name),星級評分(Rating),網站,簡介,原文名稱,英文名稱
,,,,,,,,,,,,
MYSTAYS 札幌公園精品酒店,,https://www.google.com/maps/place/MYSTAYS+%E6%9C%AD%E5%B9%8C%E5%85%AC%E5%9C%92%E7%B2%BE%E5%93%81%E9%85%92%E5%BA%97/data=!4m2!3m1!1s0x5f0b2bad8993e9a5:0xd825edc67ae4a90e,,,43.0495311,141.3569474,MYSTAYS 札幌公園精品酒店,4,https://iconia.co.jp/hotel-mystays-premier-sapporo-park-hokkaido/?utm_source=google&utm_medium=GBP&utm_campaign=MSPSapporoPark,平實的飯店提供悠閒的客房，並附設簡樸的餐廳與溫泉 SPA 區。,MYSTAYS 札幌公園精品酒店,HOTEL MYSTAYS PREMIER Sapporo Park
新千歲機場,,https://www.google.com/maps/place/%E6%96%B0%E5%8D%83%E6%AD%B2%E6%A9%9F%E5%A0%B4/data=!4m2!3m1!1s0x5f75206a59b85665:0xbb7cafe62704ee3d,,,42.7878079,141.6808693,新千歲機場,4.1,,,新千歲機場,New Chitose Airport Station
しゃぶしゃぶ かに＆海鮮 一,,https://www.google.com/maps/place/%E3%81%97%E3%82%83%E3%81%B6%E3%81%97%E3%82%83%E3%81%B6+%E3%81%8B%E3%81%AB%EF%BC%86%E6%B5%B7%E9%AE%AE+%E4%B8%80/data=!4m2!3m1!1s0x5f0b29d274f2fd7b:0x6f4f58480c4daed,,,43.0543562,141.3513301,しゃぶしゃぶ かに＆海鮮 一,4.5,https://ha6f300.gorp.jp/,,しゃぶしゃぶ かに＆海鮮 一,しゃぶしゃぶ かに＆海鮮 一
札幌工廠,,https://www.google.com/maps/place/%E6%9C%AD%E5%B9%8C%E5%B7%A5%E5%BB%A0/data=!4m2!3m1!1s0x5f0b297129feb09f:0x67f8fc84fdfe335f,,,43.039644,141.406043,札幌工廠,4,,,札幌工廠,Sapporo Factory
旧永山武四郎邸 / 旧三菱鉱業寮,,https://www.google.com/maps/place/%E6%97%A7%E6%B0%B8%E5%B1%B1%E6%AD%A6%E5%9B%9B%E9%83%8E%E9%82%B8+%2F+%E6%97%A7%E4%B8%89%E8%8F%B1%E9%89%B1%E6%A5%AD%E5%AF%AE/data=!4m2!3m1!1s0x5f0b29bc538a3005:0x4fb66131d2558d0e,,,43.0659098,141.3644978,旧永山武四郎邸 / 旧三菱鉱業寮,4.4,https://sapporoshi-nagayamatei.jp/,,旧永山武四郎邸 / 旧三菱鉱業寮,旧永山武四郎邸 / 旧三菱鉱業寮
札幌開拓使麦酒醸造所 見学館,,https://www.google.com/maps/place/%E6%9C%AD%E5%B9%8C%E9%96%8B%E6%8B%93%E4%BD%BF%E9%BA%A6%E9%85%92%E9%86%B8%E9%80%A0%E6%89%80+%E8%A6%8B%E5%AD%A6%E9%A4%A8/data=!4m2!3m1!1s0x5f0b29712730f83f:0xad7674f5ccea81eb,,,43.0654312,141.3621133,札幌開拓使麦酒醸造所 見学館,4,https://www.sapporobeer.jp/brewery/sapporokaitakushi/,,札幌開拓使麦酒醸造所 見学館,Sapporo Kaitakushi beer brewery
豐平館,,https://www.google.com/maps/place/%E8%B1%90%E5%B9%B3%E9%A4%A8/data=!4m2!3m1!1s0x5f0b2a272bfa794d:0xdb073304d301f7dc,,,43.04628,141.352564,豐平館,4.3,https://www.s-hoheikan.jp/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP,原為 1881 年開幕的旅館，這座歷史悠久的建築地標現為舉辦活動與導覽的場地。,豐平館,Hōhei Kan
北海道大學,,https://www.google.com/maps/place/%E5%8C%97%E6%B5%B7%E9%81%93%E5%A4%A7%E5%AD%B8/data=!4m2!3m1!1s0x5f0b290bc5dc9a43:0x425f98023e0b86d5,,,43.0790078,141.3377295,北海道大學,4.6,https://www.hokudai.ac.jp/,"Circa-1876 public university known for its leafy campus & degrees in science, engineering & IT.",北海道大學,Hokkaido University
札幌情報未来専門学校,,https://www.google.com/maps/place/%E6%9C%AD%E5%B9%8C%E6%83%85%E5%A0%B1%E6%9C%AA%E6%9D%A5%E5%B0%82%E9%96%80%E5%AD%A6%E6%A0%A1/data=!4m2!3m1!1s0x5f0b29a306913915:0xa2d2184bb9f64098,,,43.0655385,141.3351917,札幌情報未来専門学校,3.4,http://www.sapporo-mirai.ac.jp/,,札幌情報未来専門学校,札幌情報未来専門学校
Koshinshinju Sapporo Shiten,,https://www.google.com/maps/place/Koshinshinju+Sapporo+Shiten/data=!4m2!3m1!1s0x5f0b2920fbda6677:0xab3852cefabf0143,,,43.0660215,141.3349508,Koshinshinju Sapporo Shiten,3.4,http://www.koshinpearl.com/portfolio/sapporo/,,Koshinshinju Sapporo Shiten,Koshinshinju Sapporo Shiten
Historical Village of Hokkaido,,https://www.google.com/maps/place/Historical+Village+of+Hokkaido/data=!4m2!3m1!1s0x5f0b2ceb651ae381:0xaaa05e70a99cab96,,,43.0460191,141.4985449,Historical Village of Hokkaido,4.4,https://www.kaitaku.or.jp/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP,展示 19 世紀農村的露天博物館，具有超過 60 間以木材和石材建造而成的傳統住宅。,Historical Village of Hokkaido,Historical Village of Hokkaido
輪厚停車區 (下行),,https://www.google.com/maps/place/%E8%BC%AA%E5%8E%9A%E5%81%9C%E8%BB%8A%E5%8D%80+(%E4%B8%8B%E8%A1%8C)/data=!4m2!3m1!1s0x5f74d5da249aea5f:0x59d222504e15617f,,,42.9505934,141.5111684,輪厚停車區 (下行),3.7,https://www.driveplaza.com/sapa/1050/1050081/2/,,輪厚停車區 (下行),Wattsu Parking Area (Down)
雅亭溫泉飯店,,https://www.google.com/maps/place/%E9%9B%85%E4%BA%AD%E6%BA%AB%E6%B3%89%E9%A3%AF%E5%BA%97/data=!4m2!3m1!1s0x5f7566c37c349cb3:0x3d009260b671701,,,42.495723,141.141218,雅亭溫泉飯店,4.1,http://www.miyabitei.jp/,簡樸的溫泉飯店附設遊戲機台區、餐廳和大眾澡堂。,雅亭溫泉飯店,Meitonoyado Park Hotel Miyabitei
Reclamation Monument,,https://www.google.com/maps/place/Reclamation+Monument/data=!4m2!3m1!1s0x5f0b299b84cf8415:0x6d50a8ceaf0541ea,,,43.060198,141.347916,Reclamation Monument,3.8,http://www.sapporo-park.or.jp/odori/guide/guide_detail03,,Reclamation Monument,Reclamation Monument
樺太開拓記念碑,,https://www.google.com/maps/place/%E6%A8%BA%E5%A4%AA%E9%96%8B%E6%8B%93%E8%A8%98%E5%BF%B5%E7%A2%91/data=!4m2!3m1!1s0x5f0b29a8ea728895:0x833dceec22e624d2,,,43.0546422,141.3119509,樺太開拓記念碑,4.4,,,樺太開拓記念碑,樺太開拓記念碑
旧第一銀行小樽支店,,https://www.google.com/maps/place/%E6%97%A7%E7%AC%AC%E4%B8%80%E9%8A%80%E8%A1%8C%E5%B0%8F%E6%A8%BD%E6%94%AF%E5%BA%97/data=!4m2!3m1!1s0x5f0ae1000d7838e9:0xb0ea05b4fd77a5a6,,,43.196698,141.0018276,旧第一銀行小樽支店,4,,,旧第一銀行小樽支店,旧第一銀行小樽支店
旧三菱銀行小樽支店,,https://www.google.com/maps/place/%E6%97%A7%E4%B8%89%E8%8F%B1%E9%8A%80%E8%A1%8C%E5%B0%8F%E6%A8%BD%E6%94%AF%E5%BA%97/data=!4m2!3m1!1s0x5f0ae04d8a4e8fad:0x13a164943b4f1dbf,,,43.197006,141.0020455,旧三菱銀行小樽支店,4.3,https://www.city.otaru.lg.jp/docs/2020101500467/,,旧三菱銀行小樽支店,旧三菱銀行小樽支店
小樽藝術村,,https://www.google.com/maps/place/%E5%B0%8F%E6%A8%BD%E8%97%9D%E8%A1%93%E6%9D%91/data=!4m2!3m1!1s0x5f0ae04d88b14b37:0x31fcb1b45d9ae829,,,43.1976641,141.0018713,小樽藝術村,4.2,https://www.nitorihd.co.jp/otaru-art-base/,前身為倉庫和銀行，展出彩繪玻璃、繪畫和其他作品。,小樽藝術村,Otaru Art Base
石造倉庫群,,https://www.google.com/maps/place/%E7%9F%B3%E9%80%A0%E5%80%89%E5%BA%AB%E7%BE%A4/data=!4m2!3m1!1s0x5f0ae04d28908c73:0x67ab41537d78f4ba,,,43.1978042,141.0039248,石造倉庫群,4.2,,煤氣燈照亮的靜謐運河，沿途有石造倉庫改建而成的餐廳與咖啡廳。,石造倉庫群,Warehouse District
